frame_id,timestamp,dt_ms,my_x,my_y,my_z,my_raw_vx,my_raw_vy,my_raw_vz,my_raw_kmh,my_pos_vx,my_pos_vy,my_pos_vz,my_pos_kmh,my_chosen_vx,my_chosen_vy,my_chosen_vz,my_chosen_kmh,my_source,my_is_staircase,my_speed_delta_kmh,tg_ptr,tg_raw_kmh,tg_pos_kmh,tg_chosen_kmh,tg_source
98,1788706264.8686,16.66,1842.616,217.152,2029.359,0.00,0.00,0.00,0.0,0.38,0.00,0.90,3.5,0.00,0.00,0.21,0.8,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
99,1788706264.8853,16.66,1842.628,217.153,2029.387,0.00,0.00,0.00,0.0,0.43,0.00,1.03,4.0,0.00,0.00,0.21,0.8,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
100,1788706264.9019,16.66,1842.634,217.153,2029.401,0.00,0.00,0.00,0.0,0.42,0.00,1.00,3.9,0.00,0.00,0.21,0.8,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
101,1788706264.9186,16.66,1842.640,217.153,2029.415,0.00,0.00,0.00,0.0,0.41,0.00,0.97,3.8,0.00,0.00,0.21,0.8,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
102,1788706264.9353,16.66,1842.652,217.153,2029.446,0.00,0.00,0.00,0.0,0.47,0.00,1.13,4.4,0.00,0.00,0.22,0.8,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
103,1788706264.9519,16.66,1842.659,217.153,2029.461,0.00,0.00,0.00,0.0,0.46,0.00,1.09,4.3,0.00,0.00,0.22,0.8,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
104,1788706264.9686,16.66,1842.672,217.154,2029.493,0.00,0.00,0.00,0.0,0.52,0.00,1.24,4.8,0.05,0.00,0.26,1.0,pos_only_smoothed,0,0.19,0x6ea869b0,0.0,0.0,0.0,ground_idle
105,1788706264.9853,16.66,1842.679,217.154,2029.510,0.00,0.00,0.00,0.0,0.50,0.00,1.20,4.7,0.07,0.00,0.31,1.1,pos_only_smoothed,0,0.17,0x6ea869b0,0.0,0.0,0.0,ground_idle
106,1788706265.0019,16.66,1842.686,217.154,2029.527,0.00,0.00,0.00,0.0,0.49,0.00,1.16,4.5,0.09,0.00,0.35,1.3,pos_only_smoothed,0,0.16,0x6ea869b0,0.0,0.0,0.0,ground_idle
107,1788706265.0186,16.66,1842.701,217.154,2029.562,0.00,0.00,0.00,0.0,0.56,0.00,1.34,5.2,0.12,0.00,0.40,1.5,pos_only_smoothed,0,0.19,0x6ea869b0,0.0,0.0,0.0,ground_idle
108,1788706265.0352,16.66,1842.709,217.155,2029.580,0.00,0.00,0.00,0.0,0.54,0.00,1.29,5.0,0.14,0.00,0.44,1.7,pos_only_smoothed,0,0.17,0x6ea869b0,0.0,0.0,0.0,ground_idle
109,1788706265.0519,16.66,1842.724,217.155,2029.618,0.00,0.00,0.00,0.0,0.61,0.00,1.46,5.7,0.16,0.00,0.49,1.9,pos_only_smoothed,0,0.19,0x6ea869b0,0.0,0.0,0.0,ground_idle
110,1788706265.0686,16.67,1842.732,217.155,2029.637,0.00,0.00,0.00,0.0,0.59,0.00,1.41,5.5,0.16,0.00,0.49,1.9,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
111,1788706265.0852,16.62,1842.749,217.155,2029.676,0.00,0.00,0.00,0.0,0.66,0.00,1.58,6.2,0.16,0.00,0.49,1.9,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
112,1788706265.1018,16.66,1842.758,217.155,2029.697,0.00,0.00,0.00,0.0,0.64,0.00,1.52,5.9,0.16,0.00,0.49,1.9,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
113,1788706265.1185,16.66,1842.766,217.156,2029.717,0.00,0.00,0.00,0.0,0.61,0.00,1.47,5.7,0.16,0.00,0.49,1.9,pos_only_smoothed,0,0.00,0x6ea869b0,0.0,0.0,0.0,ground_idle
