frame_id,timestamp,dt_ms,my_x,my_y,my_z,my_raw_kmh,my_pos_kmh,my_vel_296_kmh,my_delta_296_kmh,my_src_296,my_vel_zj_kmh,my_delta_zj_kmh,tg_ptr,tg_raw_kmh,tg_pos_kmh,tg_vel_296_kmh,tg_vel_zj_kmh
148,1788706265.7017,16.66,1843.401,217.161,2031.233,0.0,12.6,11.3,0.24,pos_only_smoothed,11.1,0.12,0x6ea869b0,0.0,0.0,0.0,0.0
149,1788706265.7184,16.66,1843.417,217.161,2031.273,0.0,12.0,11.4,0.11,pos_only_smoothed,11.3,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
150,1788706265.7351,16.66,1843.451,217.161,2031.353,0.0,13.2,11.7,0.28,pos_only_smoothed,11.5,0.18,0x6ea869b0,0.0,0.0,0.0,0.0
151,1788706265.7517,16.66,1843.468,217.162,2031.394,0.0,12.5,11.8,0.14,pos_only_smoothed,11.7,0.20,0x6ea869b0,0.0,0.0,0.0,0.0
152,1788706265.7684,16.69,1843.503,217.162,2031.477,0.0,13.8,12.1,0.31,pos_only_smoothed,11.9,0.22,0x6ea869b0,0.0,0.0,0.0,0.0
153,1788706265.7851,16.66,1843.520,217.162,2031.519,0.0,13.1,12.3,0.15,pos_only_smoothed,12.1,0.23,0x6ea869b0,0.0,0.0,0.0,0.0
154,1788706265.8017,16.66,1843.538,217.162,2031.561,0.0,12.5,12.3,0.03,pos_only_smoothed,12.3,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
155,1788706265.8184,16.66,1843.574,217.163,2031.647,0.0,13.9,12.6,0.25,pos_only_smoothed,12.4,0.11,0x6ea869b0,0.0,0.0,0.0,0.0
156,1788706265.8351,16.66,1843.592,217.163,2031.690,0.0,13.2,12.7,0.10,pos_only_smoothed,12.5,0.16,0x6ea869b0,0.0,0.0,0.0,0.0
157,1788706265.8517,16.66,1843.629,217.163,2031.779,0.0,14.6,13.0,0.30,pos_only_smoothed,12.7,0.19,0x6ea869b0,0.0,0.0,0.0,0.0
