frame_id,timestamp,dt_ms,my_x,my_y,my_z,raw_kmh,pos_delta_kmh,v296_kmh,v296_delta_kmh,v296_source,latest_kmh,latest_delta_kmh,latest_source,diff_kmh
91,1788706264.7520,16.66,1842.568,217.153,2029.244,0.0,2.3,1.3,0.16,pos_only_smoothed,1.7,0.12,pos_only_smoothed,0.45
92,1788706264.7686,16.66,1842.577,217.153,2029.265,0.0,2.8,1.5,0.20,pos_only_smoothed,1.8,0.12,pos_only_smoothed,0.37
93,1788706264.7853,16.66,1842.581,217.153,2029.275,0.0,2.7,1.6,0.16,pos_only_smoothed,2.0,0.12,pos_only_smoothed,0.33
94,1788706264.8020,16.66,1842.586,217.152,2029.286,0.0,2.7,1.8,0.13,pos_only_smoothed,2.1,0.11,pos_only_smoothed,0.31
95,1788706264.8186,16.66,1842.595,217.152,2029.309,0.0,3.2,2.0,0.19,pos_only_smoothed,2.2,0.11,pos_only_smoothed,0.23
96,1788706264.8353,16.66,1842.600,217.152,2029.321,0.0,3.1,2.1,0.16,pos_only_smoothed,2.3,0.13,pos_only_smoothed,0.20
97,1788706264.8519,16.66,1842.611,217.152,2029.347,0.0,3.6,2.4,0.23,pos_only_smoothed,2.5,0.15,pos_only_smoothed,0.12
98,1788706264.8686,16.66,1842.616,217.152,2029.359,0.0,3.5,2.5,0.17,pos_only_smoothed,2.6,0.16,pos_only_smoothed,0.11
99,1788706264.8853,16.66,1842.628,217.153,2029.387,0.0,4.0,2.8,0.24,pos_only_smoothed,2.8,0.17,pos_only_smoothed,0.04
100,1788706264.9019,16.66,1842.634,217.153,2029.401,0.0,3.9,2.9,0.18,pos_only_smoothed,3.0,0.18,pos_only_smoothed,0.04
101,1788706264.9186,16.66,1842.640,217.153,2029.415,0.0,3.8,3.1,0.13,pos_only_smoothed,3.1,0.15,pos_only_smoothed,0.06
102,1788706264.9353,16.66,1842.652,217.153,2029.446,0.0,4.4,3.3,0.21,pos_only_smoothed,3.3,0.14,pos_only_smoothed,0.02
103,1788706264.9519,16.66,1842.659,217.153,2029.461,0.0,4.3,3.4,0.15,pos_only_smoothed,3.4,0.15,pos_only_smoothed,0.02
104,1788706264.9686,16.66,1842.672,217.154,2029.493,0.0,4.8,3.7,0.22,pos_only_smoothed,3.6,0.16,pos_only_smoothed,0.07
105,1788706264.9853,16.66,1842.679,217.154,2029.510,0.0,4.7,3.8,0.16,pos_only_smoothed,3.8,0.17,pos_only_smoothed,0.06
106,1788706265.0019,16.66,1842.686,217.154,2029.527,0.0,4.5,3.9,0.12,pos_only_smoothed,3.9,0.15,pos_only_smoothed,0.03
107,1788706265.0186,16.66,1842.701,217.154,2029.562,0.0,5.2,4.1,0.20,pos_only_smoothed,4.0,0.14,pos_only_smoothed,0.10
108,1788706265.0352,16.66,1842.709,217.155,2029.580,0.0,5.0,4.3,0.14,pos_only_smoothed,4.2,0.15,pos_only_smoothed,0.08
109,1788706265.0519,16.66,1842.724,217.155,2029.618,0.0,5.7,4.5,0.23,pos_only_smoothed,4.4,0.17,pos_only_smoothed,0.14
110,1788706265.0686,16.67,1842.732,217.155,2029.637,0.0,5.5,4.7,0.16,pos_only_smoothed,4.6,0.18,pos_only_smoothed,0.12
111,1788706265.0852,16.62,1842.749,217.155,2029.676,0.0,6.2,4.9,0.24,pos_only_smoothed,4.7,0.19,pos_only_smoothed,0.17
112,1788706265.1018,16.66,1842.758,217.155,2029.697,0.0,5.9,5.1,0.17,pos_only_smoothed,4.9,0.19,pos_only_smoothed,0.14
113,1788706265.1185,16.66,1842.766,217.156,2029.717,0.0,5.7,5.2,0.10,pos_only_smoothed,5.1,0.16,pos_only_smoothed,0.08
114,1788706265.1352,16.67,1842.784,217.156,2029.760,0.0,6.5,5.4,0.21,pos_only_smoothed,5.2,0.14,pos_only_smoothed,0.15
115,1788706265.1518,16.66,1842.793,217.156,2029.782,0.0,6.3,5.5,0.14,pos_only_smoothed,5.4,0.16,pos_only_smoothed,0.13
116,1788706265.1685,16.67,1842.812,217.156,2029.826,0.0,7.0,5.8,0.23,pos_only_smoothed,5.6,0.18,pos_only_smoothed,0.19
117,1788706265.1852,16.66,1842.822,217.156,2029.850,0.0,6.7,5.9,0.16,pos_only_smoothed,5.8,0.19,pos_only_smoothed,0.16
118,1788706265.2018,16.66,1842.831,217.156,2029.873,0.0,6.5,6.0,0.09,pos_only_smoothed,5.9,0.16,pos_only_smoothed,0.09
119,1788706265.2185,16.66,1842.851,217.157,2029.921,0.0,7.3,6.2,0.21,pos_only_smoothed,6.1,0.14,pos_only_smoothed,0.17
120,1788706265.2352,16.66,1842.862,217.157,2029.945,0.0,7.0,6.4,0.13,pos_only_smoothed,6.2,0.16,pos_only_smoothed,0.14
121,1788706265.2518,16.66,1842.882,217.157,2029.995,0.0,7.9,6.6,0.24,pos_only_smoothed,6.4,0.18,pos_only_smoothed,0.21
122,1788706265.2685,16.66,1842.893,217.157,2030.021,0.0,7.6,6.7,0.15,pos_only_smoothed,6.6,0.19,pos_only_smoothed,0.17
123,1788706265.2851,16.66,1842.904,217.157,2030.047,0.0,7.3,6.8,0.09,pos_only_smoothed,6.7,0.16,pos_only_smoothed,0.10
124,1788706265.3018,16.67,1842.926,217.157,2030.100,0.0,8.2,7.1,0.22,pos_only_smoothed,6.9,0.14,pos_only_smoothed,0.18
125,1788706265.3185,16.67,1842.938,217.157,2030.128,0.0,7.9,7.2,0.14,pos_only_smoothed,7.0,0.17,pos_only_smoothed,0.15
126,1788706265.3351,16.66,1842.961,217.158,2030.182,0.0,8.8,7.4,0.25,pos_only_smoothed,7.2,0.19,pos_only_smoothed,0.22
127,1788706265.3518,16.66,1842.973,217.158,2030.211,0.0,8.4,7.6,0.16,pos_only_smoothed,7.4,0.20,pos_only_smoothed,0.18
128,1788706265.3685,16.66,1842.997,217.158,2030.269,0.0,9.3,7.9,0.28,pos_only_smoothed,7.6,0.21,pos_only_smoothed,0.24
129,1788706265.3851,16.66,1843.009,217.158,2030.298,0.0,8.9,8.0,0.16,pos_only_smoothed,7.9,0.22,pos_only_smoothed,0.19
130,1788706265.4018,16.66,1843.022,217.158,2030.328,0.0,8.6,8.1,0.08,pos_only_smoothed,8.0,0.17,pos_only_smoothed,0.10
131,1788706265.4185,16.66,1843.047,217.158,2030.389,0.0,9.6,8.4,0.23,pos_only_smoothed,8.2,0.14,pos_only_smoothed,0.19
132,1788706265.4351,16.66,1843.060,217.159,2030.420,0.0,9.2,8.5,0.13,pos_only_smoothed,8.3,0.17,pos_only_smoothed,0.15
133,1788706265.4518,16.66,1843.086,217.159,2030.482,0.0,10.1,8.7,0.26,pos_only_smoothed,8.5,0.19,pos_only_smoothed,0.23
